Area,Year,Week,Precipitation energy (GWh),Useful inflow HBV (used before 2015 and to min/max/avg) (GWh),"Useful inflow (production data and reservoir statistics, used from 2015) (GWh)",Hydrological balance (GWh),Reservoir deviation (GWh),Groundwater and groundwater (GWh),Snow (GWh),"Deviation snow, ground and groundwater (GWh)"
NO,2017,39,542,1890,2618,397,1629,13599,229,-1232
NO,2017,38,1922,2214,2399,2525,2021,14376,729,504
NO,2017,37,3720,3301,3811,3793,2770,14509,732,1023
NO,2017,36,2879,2349,3269,2664,2095,13846,824,569
NO,2017,35,904,2067,2203,1606,1842,12882,991,-235
NO,2017,34,523,2470,2267,2969,2400,13602,1194,570
NO,2017,33,3280,3109,3789,5258,3179,15121,1410,2080
NO,2017,32,1806,3321,3668,3859,2571,14390,1789,1288
NO,2017,31,3984,3945,4733,4381,2396,15095,2384,1985
NO,2017,30,2038,3817,3835,1630,758,13948,3312,872
NO,2017,29,565,3544,3552,1460,288,13652,5168,1172
NO,2017,28,2927,4099,4263,2770,532,14917,6809,2238
NO,2017,27,1488,3907,3617,1662,728,14585,8375,935
NO,2017,26,345,4591,4457,2464,2122,15229,10218,342
NO,2017,25,2412,5383,5998,4021,3030,16854,12935,990
NO,2017,24,1100,7368,7802,2751,3052,17576,15369,-301
NO,2017,23,4166,7309,10219,2678,1422,19250,20233,1256
NO,2017,22,855,6224,6626,-2330,-1861,17008,25913,-469
NO,2017,21,571,7234,8004,-1591,-1626,18212,30360,35
NO,2017,20,4904,7300,8803,-733,-2939,19332,36235,2206
NO,2017,19,829,2389,2203,-5219,-6066,14978,43317,848
NO,2017,18,-5,2002,1638,-4312,-3661,15692,44309,-651
NO,2017,17,1848,832,809,-3192,-2275,13451,48585,-917
NO,2017,16,2827,1144,1053,-3828,-530,13968,47079,-3298
NO,2017,15,2287,1954,1576,-5143,297,14286,45139,-5440
NO,2017,14,2702,2860,2330,-5605,-53,14975,44238,-5552
NO,2017,13,3157,2080,1894,-5844,-1337,14682,44833,-4507
NO,2017,12,3013,694,730,-6368,-2137,12531,46018,-4231
NO,2017,11,5484,1173,842,-7132,-2146,12507,43740,-4987
NO,2017,10,1569,408,397,-10093,-2573,12270,39723,-7520
NO,2017,9,2486,710,585,-8682,-2117,12486,38343,-6566
NO,2017,8,5141,1336,976,-8272,-2084,12752,36304,-6187
NO,2017,7,1815,762,753,-10250,-2527,12810,32511,-7724
NO,2017,6,472,514,481,-8914,-2574,12600,31720,-6339
NO,2017,5,1643,1025,726,-5936,-2176,13085,31289,-3759
NO,2017,4,2525,2075,1480,-3604,-1846,13775,30025,-1758
NO,2017,3,4014,1671,1657,-1681,-2365,13954,29524,684
NO,2017,2,5069,1386,1153,-1898,-2939,12940,28286,1041
NO,2017,1,3505,1770,1322,-3291,-3028,13307,24317,-263
NO,2016,52,8529,2429,2850,-76,-2970,14907,21304,2894
NO,2016,51,5588,2303,2141,-5133,-4351,13903,16585,-782
NO,2016,50,2045,1629,1300,-6957,-5224,13453,13889,-1733
NO,2016,49,5572,2797,2839,-4674,-4876,14277,12732,202
NO,2016,48,4303,1420,1211,-6724,-6371,12555,11832,-353
NO,2016,47,4621,1493,1840,-7439,-6138,13305,8275,-1300
NO,2016,46,4260,1564,1411,-9268,-6469,12656,5885,-2798
NO,2016,45,621,683,492,-10249,-6176,12079,3844,-4073
NO,2016,44,3192,1680,1275,-6804,-4071,12731,3267,-2733
NO,2016,43,3606,1346,1333,-5720,-2477,12693,1871,-3243
NO,2016,42,703,852,714,-5440,-817,11975,387,-4623
NO,2016,41,-25,1060,723,-2901,745,12178,310,-3645
NO,2016,40,267,2171,1455,930,2922,13134,360,-1992
NO,2016,39,7015,3706,4795,4667,4347,14508,871,320
NO,2016,38,41,1652,1497,-232,2289,11777,303,-2521
NO,2016,37,1261,2851,2295,2714,3760,12812,359,-1047
NO,2016,36,1903,2549,3125,4700,4654,13672,475,46
NO,2016,35,2748,3228,3446,4756,4455,13826,583,301
NO,2016,34,2892,2729,3037,4013,3556,14013,670,457
NO,2016,33,-12,2529,2105,2919,3295,13205,870,-376
NO,2016,32,4335,3475,4290,5401,4170,14923,1200,1231
NO,2016,31,2486,3040,3359,2917,3215,13873,1324,-298
NO,2016,30,3661,3386,4151,2027,2948,13816,1653,-920
NO,2016,29,145,2954,3325,-635,2206,12472,2336,-2841
NO,2016,28,1860,3166,3921,446,2653,13894,3386,-2207
NO,2016,27,666,3064,3459,-569,3020,13856,4581,-3589
NO,2016,26,2651,4586,6089,28,4324,15227,5583,-4296
NO,2016,25,1564,4279,5783,-2421,3600,15209,7567,-6022
NO,2016,24,350,4297,4864,-3964,3710,15504,10068,-7674
NO,2016,23,-424,6342,5591,-3598,4969,15950,13710,-8567
NO,2016,22,63,10086,10226,-105,6585,18574,18126,-6690
NO,2016,21,1611,7541,7919,1862,3237,19310,27852,-1375
NO,2016,20,1691,3511,4623,2326,2244,18118,35325,81
NO,2016,19,83,6627,4617,1410,3399,17480,37978,-1988
NO,2016,18,1159,2689,2571,4936,3247,16835,45506,1689
NO,2016,17,1907,915,775,4633,3660,14332,49593,973
NO,2016,16,2026,1179,906,3830,5202,14053,48920,-1372
NO,2016,15,783,1132,936,3203,5885,14249,47933,-2682
NO,2016,14,1870,1805,1336,4279,6452,14604,47988,-2173
NO,2016,13,2734,1844,1053,4958,6347,13966,48667,-1389
NO,2016,12,1650,1146,796,5514,6411,13823,48060,-897
NO,2016,11,1603,1591,810,6718,6499,14175,47278,219
NO,2016,10,606,178,317,8673,6654,12300,49232,2019
NO,2016,9,1761,221,405,11357,7658,12345,48749,3700
NO,2016,8,3170,353,405,12773,8474,12460,47082,4298
NO,2016,7,1783,359,542,12982,9302,12643,44082,3680
NO,2016,6,2896,985,726,14234,9595,12850,42449,4639
NO,2016,5,5999,972,1138,14851,9572,13042,40370,5278
NO,2016,4,7003,1418,1495,11850,9002,13408,34997,2848
NO,2016,3,1602,350,451,8097,7964,12925,30001,133
NO,2016,2,1984,500,552,10807,9312,13195,28485,1495
NO,2016,1,548,757,716,12938,10628,13634,26564,2311
NO,2015,53,2058,1553,1284,17590,12686,14388,26031,4904
NO,2015,52,8005,4797,3081,19941,13299,15358,24600,6642
NO,2015,51,3596,1801,2997,17543,11793,15545,21475,5750
NO,2015,50,7735,3493,2580,16827,10587,14489,20827,6241
NO,2015,49,9920,2069,3192,13577,9125,14830,16429,4452
NO,2015,48,4277,1591,1896,5846,7034,14646,8906,-1188
NO,2015,47,3534,1924,1369,4678,6605,14172,6782,-1926
NO,2015,46,6595,3259,2784,5240,7180,15344,4055,-1939
NO,2015,45,3425,2511,2312,2276,6077,15157,1039,-3801
NO,2015,44,2074,1985,1853,2439,5879,14298,993,-3440
NO,2015,43,2928,1903,2130,4125,6673,14514,745,-2548
NO,2015,42,1058,1462,1364,4554,7304,13616,620,-2750
NO,2015,41,685,1591,1246,6709,8226,13872,745,-1516
NO,2015,40,2105,2801,2458,9656,9633,14852,657,22
NO,2015,39,2385,2816,2634,11694,10030,15453,1270,1664
NO,2015,38,5553,4386,4538,13458,10398,15619,2043,3060
NO,2015,37,-148,2434,1867,11049,8875,13892,2500,2174
NO,2015,36,3786,4194,3733,14898,10290,15431,3278,4608
NO,2015,35,4824,4723,5400,14426,9437,15086,4012,4990
NO,2015,34,-531,4466,3830,11224,6649,13190,5612,4575
NO,2015,33,568,4421,4776,14838,5681,15203,8406,9157
NO,2015,32,2332,5044,5253,16421,3839,16355,11118,12581
NO,2015,31,1373,4636,4683,16730,1916,16105,14203,14814
NO,2015,30,1630,5561,5294,17354,34,16502,17206,17319
NO,2015,29,1979,6072,5980,18152,-2048,17565,20283,20200
NO,2015,28,4018,9246,8448,18348,-4367,17781,24421,22715
NO,2015,27,-344,8479,9433,17307,-8546,18038,29840,25853
NO,2015,26,270,6958,6569,18918,-13078,17970,39132,31997
NO,2015,25,573,4712,5094,21205,-14123,18052,46074,35328
NO,2015,24,1239,5808,5962,21941,-13310,18359,50139,35252
NO,2015,23,5089,5776,5520,22070,-13037,19141,54193,35107
NO,2015,22,2601,3904,3858,19251,-11623,18100,56163,30873
NO,2015,21,2680,3529,3457,18599,-8638,17524,58250,27237
NO,2015,20,2708,3903,3948,18200,-5240,16906,59895,23440
NO,2015,19,2275,2630,3106,16900,-3838,16153,62032,20737
NO,2015,18,1727,1434,1259,15412,-2603,14601,64066,18015
NO,2015,17,2206,2556,1800,14882,-600,15312,63123,15483
NO,2015,16,2717,1634,1069,14263,-329,14095,64841,14591
NO,2015,15,2423,1322,1042,13397,325,14221,63716,13072
NO,2015,14,1554,542,475,12692,551,12794,64111,12140
NO,2015,13,3026,828,610,12935,1056,13002,62900,11879
NO,2015,12,1324,869,608,12792,1834,13204,60533,10958
NO,2015,11,4119,1812,1221,14370,2277,13250,60077,12093
NO,2015,10,4309,1084,973,13425,1858,13417,57664,11568
NO,2015,9,3510,853,819,11918,1404,12906,55002,10514
NO,2015,8,4161,1182,1106,11087,1048,13108,52175,10039
NO,2015,7,4899,1326,1034,9925,620,12725,49624,9305
NO,2015,6,2231,347,548,8383,191,12390,46462,8192
NO,2015,5,3980,668,654,9333,491,12486,44488,8841
NO,2015,4,1715,510,701,8655,561,12611,41040,8094
NO,2015,3,9037,1168,1200,10858,1241,12977,39435,9617
NO,2015,2,5937,1407,1340,5294,962,13354,31162,4331
NO,2015,1,7743,1872,1254,2885,758,14037,25977,2127
NO,2014,52,4204,691,926,619,-291,12641,21586,911
NO,2014,51,6039,845,1101,198,761,12942,17765,-563
NO,2014,50,5501,1050,1036,-2413,1163,13268,12232,-3575
NO,2014,49,2753,1113,1007,-4522,1230,13769,7286,-5752
NO,2014,48,3642,1371,999,-3597,1676,13904,5564,-5273
NO,2014,47,561,1176,1027,-3600,2054,14246,2980,-5654
NO,2014,46,2142,2238,1852,-641,2830,15229,2639,-3471
NO,2014,45,3148,3420,2405,841,2791,15775,2272,-1950
NO,2014,44,8424,6620,5475,2316,2608,16844,1596,-291
NO,2014,43,6662,4367,4970,-1111,-249,16089,856,-862
NO,2014,42,2176,1974,2055,-4609,-2425,14046,756,-2184
NO,2014,41,5088,2771,3208,-3740,-2256,14226,424,-1484
NO,2014,40,2259,3009,2515,-6028,-2889,12107,240,-3139
NO,2014,39,4532,1893,2073,-4491,-2494,12694,368,-1997
NO,2014,38,-107,1374,1013,-5751,-1833,10511,173,-3918
NO,2014,37,1777,2487,2259,-2420,149,11449,200,-2569
NO,2014,36,1022,2154,2072,-1222,1000,11633,246,-2222
NO,2014,35,378,1972,1798,252,1812,12239,309,-1560
NO,2014,34,3486,2565,2518,1961,2442,13368,377,-481
NO,2014,33,2331,2754,2717,780,2613,12175,443,-1833
NO,2014,32,2727,2930,2670,584,2799,12093,584,-2214
NO,2014,31,1656,2847,2520,75,3342,11326,902,-3267
NO,2014,30,-681,3229,2566,356,3896,11474,1375,-3540
NO,2014,29,1658,4596,3885,2991,4686,13203,2750,-1695
NO,2014,28,898,5853,6598,3621,4561,13886,4661,-940
NO,2014,27,769,4271,4242,3662,2376,14523,8789,1287
NO,2014,26,94,3425,3164,4775,3022,14690,12168,1753
NO,2014,25,762,4938,5209,6811,5328,15489,14792,1483
NO,2014,24,587,7825,7853,7446,6017,17080,17595,1429
NO,2014,23,211,9002,8506,8417,4368,18918,23358,4049
NO,2014,22,14,9286,8372,11073,2975,19344,32145,8098
NO,2014,21,1886,9734,10755,14119,1463,20683,40510,12656
NO,2014,20,1147,3728,4058,13634,-2523,17816,51702,16157
NO,2014,19,1663,2087,2098,13963,-869,15989,56290,14833
NO,2014,18,725,3756,2603,13815,1654,15974,56839,12160
NO,2014,17,165,3115,2489,15325,2207,16531,59540,13118
NO,2014,16,2670,1955,1264,16629,1802,14641,64530,14826
NO,2014,15,4115,2221,1879,15936,2239,14596,63965,13697
NO,2014,14,599,917,717,13952,1921,13323,63473,12031
NO,2014,13,904,987,740,15720,2588,13546,63608,13132
NO,2014,12,7700,1800,1562,17473,3001,13509,63742,14472
NO,2014,11,5636,2101,1299,12262,2100,13612,57783,10162
NO,2014,10,4158,1099,969,9644,1184,13296,54678,8461
NO,2014,9,3860,1492,1129,8246,666,12751,52222,7579
NO,2014,8,3041,650,617,7559,122,12357,50324,7437
NO,2014,7,3967,721,709,7405,150,12523,47777,7255
NO,2014,6,2508,414,481,5990,-418,12349,44718,6407
NO,2014,5,1621,262,415,6236,-605,12350,42624,6841
NO,2014,4,629,332,500,7875,-172,12542,41062,8047
NO,2014,3,1920,588,531,10928,434,12835,40453,10495
NO,2014,2,3443,1521,1415,12930,1186,13324,38604,11744
NO,2014,1,5618,1951,1538,12645,500,13714,36318,12145
NO,2013,52,8441,2173,1933,12388,-722,13929,32498,13111
NO,2013,51,5876,1797,2068,7484,-1459,13848,26365,8943
NO,2013,50,5707,1842,2328,4896,-2227,14019,22179,7122
NO,2013,49,8156,1393,1603,2335,-3270,13311,19102,5606
NO,2013,48,4681,1532,1506,-2612,-3556,13839,11846,944
NO,2013,47,2661,1958,1635,-3998,-3736,13797,8821,-262
NO,2013,46,4940,1938,2250,-3029,-3690,14928,7071,661
NO,2013,45,3627,1913,1586,-5171,-4307,14011,5122,-864
NO,2013,44,4475,3160,2910,-5362,-4106,14928,2546,-1256
NO,2013,43,6521,3498,3810,-6367,-4848,15231,1057,-1519
NO,2013,42,706,1293,1132,-9589,-5998,12534,861,-3591
NO,2013,41,3937,3142,3063,-7290,-5058,13612,290,-2232
NO,2013,40,1641,1204,1092,-8125,-5638,12879,120,-2487
NO,2013,39,510,1620,1335,-6598,-4027,12304,184,-2571
NO,2013,38,4889,3110,3341,-3638,-2616,13369,211,-1021
NO,2013,37,465,1941,1704,-5761,-3201,11581,76,-2561
NO,2013,36,2099,2207,1967,-3413,-1854,12461,81,-1559
NO,2013,35,451,2110,1578,-3160,-1186,12041,92,-1975
NO,2013,34,1213,3463,3042,-1329,-438,13240,95,-891
NO,2013,33,4459,3075,3125,-6,-740,15078,107,734
NO,2013,32,4015,3567,3824,-2314,-869,13324,123,-1445
NO,2013,31,3248,2542,2792,-4277,-1282,12343,156,-2995
NO,2013,30,-627,2188,2030,-6308,-1012,10842,251,-5296
NO,2013,29,1552,2719,3422,-4313,275,12520,539,-4589
NO,2013,28,-97,2824,3110,-5030,529,13095,833,-5558
NO,2013,27,655,3624,3898,-3864,1654,14958,1548,-5518
NO,2013,26,3014,5674,5787,-3471,2387,16731,2516,-5858
NO,2013,25,2891,4710,5150,-5171,1779,17750,4098,-6951
NO,2013,24,1300,4721,5167,-7389,2141,17057,6659,-9530
NO,2013,23,2660,6853,6003,-7992,2955,17579,9700,-10947
NO,2013,22,825,9739,9430,-7682,3955,19581,12172,-11637
NO,2013,21,3308,12309,11285,-6151,1321,20018,21047,-7472
NO,2013,20,4197,7554,8263,-6045,-3340,20322,30334,-2705
NO,2013,19,2258,4783,4631,-9364,-6286,17674,36695,-3079
NO,2013,18,3493,1382,1017,-10606,-7064,13873,43237,-3543
NO,2013,17,3327,2204,1351,-13369,-5467,14058,40992,-7902
NO,2013,16,4889,2815,2082,-15470,-5145,14116,39904,-10325
NO,2013,15,526,88,68,-18787,-6029,11907,40200,-12758
NO,2013,14,836,88,57,-17995,-4902,11891,39781,-13094
NO,2013,13,626,82,95,-17241,-4148,11922,39008,-13093
NO,2013,12,274,104,85,-15852,-3463,11982,38408,-12390
NO,2013,11,1084,157,220,-13622,-2602,12063,38151,-11020
NO,2013,10,1676,341,243,-12110,-1887,12180,37110,-10223
NO,2013,9,3321,736,362,-11148,-1728,12351,35623,-9421
NO,2013,8,1437,170,175,-11459,-1675,12132,33328,-9784
NO,2013,7,538,129,205,-9923,-1074,12141,32055,-8848
NO,2013,6,1700,256,258,-7531,-652,12243,31538,-6879
NO,2013,5,4884,498,441,-6293,-464,12385,29920,-5828
NO,2013,4,917,222,313,-8138,-493,12416,25497,-7645
NO,2013,3,584,301,238,-5269,304,12610,24611,-5573
NO,2013,2,755,639,637,-1931,1308,12826,24120,-3239
NO,2013,1,5759,1338,1207,826,1874,13212,23627,-1047
NO,2012,52,4357,467,634,193,1067,13004,19438,-874
NO,2012,51,1243,440,381,-910,1789,13034,15537,-2699
NO,2012,50,1568,492,513,1842,3150,13319,14449,-1308
NO,2012,49,495,691,527,4046,4156,13755,12942,-110
NO,2012,48,391,1346,1054,7673,5502,14450,12461,2171
NO,2012,47,5172,3136,2781,11196,6162,15804,12110,5034
NO,2012,46,4706,2640,2399,9495,4799,15139,10895,4696
NO,2012,45,3963,1380,1642,8216,4116,14360,9737,4100
NO,2012,44,3925,1522,1228,7277,4425,14451,7132,2853
NO,2012,43,3894,1808,1397,7080,5660,14654,4573,1421
NO,2012,42,3364,1917,1730,7584,7330,15595,1645,254
NO,2012,41,1906,2046,1644,7427,7704,14660,1197,-277
NO,2012,40,4230,3274,3175,9444,8870,15647,413,574
NO,2012,39,1762,1907,1750,8833,8690,14840,363,143
NO,2012,38,3309,3407,2816,11618,10055,14853,1311,1563
NO,2012,37,4230,3372,3915,12428,10308,15317,1021,2120
NO,2012,36,3286,3309,3894,10894,9529,14390,1076,1365
NO,2012,35,3044,2863,3098,9816,8490,14341,1093,1326
NO,2012,34,2230,3028,2766,8932,8105,13737,1317,828
NO,2012,33,383,2746,2679,9520,8398,13849,1724,1122
NO,2012,32,1452,3318,2796,11556,8975,14705,2767,2581
NO,2012,31,2161,4019,3385,13281,9603,15414,3758,3678
NO,2012,30,1613,4481,4905,13905,9388,15562,5345,4518
NO,2012,29,1108,4761,3962,14098,7960,16245,7541,6138
NO,2012,28,4618,8294,7084,15637,7590,18241,9293,8047
NO,2012,27,1714,7331,7860,14371,4951,17892,13553,9420
NO,2012,26,697,6898,7178,14368,2145,18084,19244,12223
NO,2012,25,2047,7105,7183,15484,459,18906,24918,15025
NO,2012,24,1879,6292,6273,15020,-927,18565,30629,15948
NO,2012,23,483,3969,4288,14656,-1041,17823,36101,15697
NO,2012,22,348,6541,5877,15819,1619,17058,40532,14200
NO,2012,21,-506,7692,7089,18181,2584,19899,44235,15597
NO,2012,20,3512,3890,2735,21466,2158,17598,55071,19308
NO,2012,19,2353,2341,1740,20875,5101,16507,56714,15774
NO,2012,18,1425,2981,1964,20503,7827,16057,57271,12675
NO,2012,17,3045,1861,1362,21172,9090,15434,59602,12083
NO,2012,16,1387,814,658,19694,10091,14169,59779,9603
NO,2012,15,2757,1188,860,20223,11675,14441,58972,8548
NO,2012,14,1680,1217,1111,19497,12343,14594,57324,7154
NO,2012,13,2737,3827,2754,19947,12441,15773,55754,7505
NO,2012,12,3731,2637,2285,20642,10579,15619,57224,10063
NO,2012,11,3677,2243,1808,19844,9180,14529,57368,10664
NO,2012,10,3491,929,980,19208,8131,13333,57257,11077
NO,2012,9,4088,1413,1541,18520,7821,13285,54808,10699
NO,2012,8,6893,952,892,17275,7071,12700,52748,10204
NO,2012,7,3686,381,395,13287,6814,12546,46973,6474
NO,2012,6,1421,204,318,12690,7110,12593,43647,5580
NO,2012,5,897,212,417,14756,7863,12635,42391,6893
NO,2012,4,1369,315,586,17657,8889,12805,41521,8768
NO,2012,3,2908,567,753,20058,9603,13045,40204,10455
NO,2012,2,6525,948,1158,20748,10038,13348,37547,10710
NO,2012,1,4897,1057,1344,17596,10164,13645,31673,7431
NO,2011,52,8819,2549,2811,17929,9773,14216,27256,8156
NO,2011,51,2839,793,1077,12223,8233,13916,21344,3990
NO,2011,50,5006,1371,1264,12603,8453,14262,18964,4150
NO,2011,49,3770,1451,1196,10947,8158,14808,14788,2789
NO,2011,48,9411,3998,3390,10832,8275,15936,11362,2557
NO,2011,47,6564,2399,2594,5354,6172,16322,5740,-818
NO,2011,46,2450,1948,1672,1818,5139,15868,2150,-3321
NO,2011,45,1055,2468,2062,3122,5520,16023,1576,-2397
NO,2011,44,3041,3603,3751,6039,5690,17094,1986,349
NO,2011,43,2495,2398,2459,6629,4637,16491,3308,1992
NO,2011,42,4011,2758,2763,7983,5171,16174,3623,2811
NO,2011,41,3902,2854,2272,7131,4612,15452,3201,2519
NO,2011,40,6363,4232,3707,7569,5360,16366,1329,2209
NO,2011,39,2301,3450,3481,5080,4515,15539,86,565
NO,2011,38,3805,3570,3361,5828,3890,16327,212,1938
NO,2011,37,4468,4599,4279,5541,3470,16166,122,2071
NO,2011,36,6002,4530,4219,4296,2149,16111,137,2146
NO,2011,35,2265,3282,3013,1097,718,14328,158,378
NO,2011,34,3076,2883,2907,1102,207,14929,192,895
NO,2011,33,4178,3359,2686,91,112,14188,242,-21
NO,2011,32,1168,2419,2125,-1004,628,12957,303,-1632
NO,2011,31,1111,2803,2409,552,1882,13806,358,-1330
NO,2011,30,2372,4684,3937,1325,2602,14572,541,-1277
NO,2011,29,4889,3835,4841,1343,2154,15984,852,-812
NO,2011,28,733,3468,3716,-2990,1052,14141,1305,-4042
NO,2011,27,1808,4610,5284,-2369,1784,15935,1937,-4153
NO,2011,26,4448,6236,7123,-3242,1477,16940,3446,-4719
NO,2011,25,1311,4771,5043,-6923,-331,16537,5669,-6592
NO,2011,24,1918,7212,6891,-7397,83,18119,7648,-7480
NO,2011,23,5353,9756,10944,-7915,-935,20344,10903,-6980
NO,2011,22,2831,5244,6206,-12363,-5035,18516,17547,-7327
NO,2011,21,4552,5262,5043,-14817,-4992,18064,20648,-9825
NO,2011,20,2996,4514,4388,-17593,-3913,17610,22071,-13680
NO,2011,19,976,6175,5724,-19443,-3407,18023,23388,-16036
NO,2011,18,105,2901,2652,-18985,-5255,16720,30203,-13730
NO,2011,17,120,5615,4132,-18424,-5335,17698,32165,-13089
NO,2011,16,816,5394,4107,-16807,-8096,18135,37499,-8711
NO,2011,15,2245,4555,2979,-15550,-11187,16594,43908,-4363
NO,2011,14,5038,3714,2559,-15083,-13399,14784,48297,-1684
NO,2011,13,2007,754,736,-17910,-15846,12855,49103,-2064
NO,2011,12,7602,1964,1172,-18176,-16138,12441,48300,-2038
NO,2011,11,1570,238,215,-23318,-17287,11508,43695,-6031
NO,2011,10,3336,454,367,-23062,-17412,11583,42280,-5650
NO,2011,9,2849,419,321,-24257,-17866,11620,39383,-6391
NO,2011,8,1518,171,193,-24896,-18261,11548,37060,-6636
NO,2011,7,658,163,230,-23762,-17981,11516,35747,-5781
NO,2011,6,4160,436,537,-21937,-18027,11641,35109,-3909
NO,2011,5,5462,764,631,-23993,-18879,11823,31196,-5114
NO,2011,4,2801,492,453,-26926,-19732,11811,26552,-7194
NO,2011,3,3531,511,679,-26795,-20093,11750,24343,-6702
NO,2011,2,4918,362,370,-27877,-20778,11659,21426,-7099
NO,2011,1,3187,264,284,-30301,-20921,11718,16788,-9381
NO,2010,52,2226,183,195,-28585,-20851,11810,13772,-7734
NO,2010,51,673,176,201,-27222,-19582,11905,11724,-7640
NO,2010,50,1875,264,280,-24235,-18290,12058,11073,-5945
NO,2010,49,1886,290,309,-22743,-17462,12246,9281,-5281
NO,2010,48,590,333,246,-21212,-16416,12455,7490,-4796
NO,2010,47,189,419,393,-18242,-15059,12711,6986,-3183
NO,2010,46,628,660,543,-15186,-13783,13131,6805,-1402
NO,2010,45,1227,1067,814,-12627,-12614,13741,6243,-13
NO,2010,44,4206,2844,2081,-10444,-11570,14741,5116,1126
NO,2010,43,4480,2395,2511,-10590,-11423,15667,2973,833
NO,2010,42,3106,1715,1308,-11469,-11157,14071,2603,-312
NO,2010,41,1251,2118,1445,-11132,-10365,14509,857,-768
NO,2010,40,7489,5228,5402,-8140,-8916,16079,183,776
NO,2010,39,254,1734,1581,-12607,-11564,13786,230,-1044
NO,2010,38,4290,2788,2684,-9622,-10514,15036,458,892
NO,2010,37,4581,2755,3003,-10833,-10636,13785,235,-198
NO,2010,36,218,1434,1323,-13069,-11023,11910,145,-2045
NO,2010,35,896,1811,1566,-11288,-9954,12576,199,-1334
NO,2010,34,3224,2635,3234,-10017,-9327,13331,205,-690
NO,2010,33,670,2262,2386,-11801,-10084,12578,156,-1717
NO,2010,32,1747,2527,2803,-11186,-9982,13518,170,-1204
NO,2010,31,1659,2544,2426,-11833,-10021,13465,217,-1813
NO,2010,30,1024,2475,2391,-12573,-10173,13690,299,-2399
NO,2010,29,3176,3950,3968,-12761,-9903,14337,453,-2858
NO,2010,28,3788,3247,4353,-14941,-10647,14521,672,-4294
NO,2010,27,161,2911,3410,-18935,-11091,13079,1102,-7844
NO,2010,26,1163,3583,3917,-18750,-10247,14595,2008,-8503
NO,2010,25,871,3852,3757,-19436,-9456,15294,3525,-9980
NO,2010,24,1464,4503,4155,-19739,-8292,16536,5264,-11447
NO,2010,23,2505,5265,5479,-20480,-7221,18068,6900,-13259
NO,2010,22,-52,4933,4933,-22019,-6550,17102,10819,-15468
NO,2010,21,855,5350,5001,-21106,-5685,17404,15712,-15421
NO,2010,20,1879,9137,9391,-20409,-4903,19508,18347,-15506
NO,2010,19,1370,1821,2787,-21463,-9546,16317,29213,-11917
NO,2010,18,276,1448,1386,-23291,-8707,14040,32027,-14585
NO,2010,17,2564,2231,2136,-23313,-7674,14857,32457,-15639
NO,2010,16,1397,839,652,-25708,-8432,12614,34455,-17276
NO,2010,15,2506,1522,1066,-26253,-7925,13241,33295,-18329
NO,2010,14,504,1086,647,-27437,-8313,12627,33014,-19124
NO,2010,13,2505,931,541,-26305,-8551,12188,34080,-17753
NO,2010,12,2277,1065,539,-26775,-8738,12176,32567,-18037
NO,2010,11,3055,608,394,-26599,-8945,11872,31707,-17654
NO,2010,10,3280,354,328,-27491,-9148,11248,29922,-18343
NO,2010,9,964,79,167,-28356,-9241,11108,27171,-19115
NO,2010,8,1103,90,167,-26947,-9093,11152,26239,-17853
NO,2010,7,868,92,128,-25292,-8622,11204,25171,-16670
NO,2010,6,1175,107,200,-23269,-8210,11268,24332,-15059
NO,2010,5,1048,132,156,-21469,-7877,11334,23207,-13592
NO,2010,4,2449,220,202,-19361,-7424,11427,22194,-11937
NO,2010,3,542,142,194,-18086,-6711,11493,19926,-11375
NO,2010,2,623,269,216,-15212,-6051,11609,19415,-9161
NO,2010,1,845,169,284,-12431,-5225,11644,19038,-7206
NO,2009,53,1142,232,272,-8676,-3170,11775,18235,-5506
NO,2009,52,1781,322,436,-5697,-1481,11970,17131,-4215
NO,2009,51,1380,485,385,-3812,-196,12243,15411,-3615
NO,2009,50,1196,803,774,-1135,1162,12639,14139,-2298
NO,2009,49,1395,1016,843,996,1403,12983,13417,-407
NO,2009,48,5930,3095,2332,3241,1931,13906,12144,1309
NO,2009,47,5576,2380,3122,1208,718,14461,8910,491
NO,2009,46,1447,698,929,-2055,-1050,12435,7899,-1005
NO,2009,45,2745,1053,1202,-543,-153,12682,6923,-391
NO,2009,44,1017,887,916,-97,685,12795,5154,-782
NO,2009,43,490,1189,1014,2498,2455,13201,4648,43
NO,2009,42,1467,1456,1222,6114,4514,13779,4808,1601
NO,2009,41,4313,2065,1865,8027,5540,13484,5136,2486
NO,2009,40,5395,3673,2639,7481,6520,14029,2418,961
NO,2009,39,4646,3686,4358,6700,6824,14647,290,-124
NO,2009,38,705,2394,2136,4624,5253,13648,324,-630
NO,2009,37,2925,3563,3863,7127,5952,15074,318,1175
NO,2009,36,4975,4420,4528,6825,5077,15496,352,1747
NO,2009,35,2672,3039,3498,4343,3368,14692,392,976
NO,2009,34,3898,3692,3697,3087,2255,14587,471,832
NO,2009,33,3042,2549,3011,1276,1180,13995,552,96
NO,2009,32,313,3117,3287,-306,915,12979,691,-1221
NO,2009,31,3182,3651,4469,1050,705,14802,1038,345
NO,2009,30,4765,4172,4630,-1520,-1137,14586,1420,-382
NO,2009,29,1121,2899,4182,-5347,-2891,13227,1965,-2456
NO,2009,28,2953,3654,4629,-6714,-3914,13727,2961,-2799
