"14091: Electricity balance (MWh), by production and consumption and month"
"production and consumption";"Electricity power 1993M01";"Electricity power 1993M02";"Electricity power 1993M03";"Electricity power 1993M04";"Electricity power 1993M05";"Electricity power 1993M06";"Electricity power 1993M07";"Electricity power 1993M08";"Electricity power 1993M09";"Electricity power 1993M10";"Electricity power 1993M11";"Electricity power 1993M12";"Electricity power 1994M01";"Electricity power 1994M02";"Electricity power 1994M03";"Electricity power 1994M04";"Electricity power 1994M05";"Electricity power 1994M06";"Electricity power 1994M07";"Electricity power 1994M08";"Electricity power 1994M09";"Electricity power 1994M10";"Electricity power 1994M11";"Electricity power 1994M12";"Electricity power 1995M01";"Electricity power 1995M02";"Electricity power 1995M03";"Electricity power 1995M04";"Electricity power 1995M05";"Electricity power 1995M06";"Electricity power 1995M07";"Electricity power 1995M08";"Electricity power 1995M09";"Electricity power 1995M10";"Electricity power 1995M11";"Electricity power 1995M12";"Electricity power 1996M01";"Electricity power 1996M02";"Electricity power 1996M03";"Electricity power 1996M04";"Electricity power 1996M05";"Electricity power 1996M06";"Electricity power 1996M07";"Electricity power 1996M08";"Electricity power 1996M09";"Electricity power 1996M10";"Electricity power 1996M11";"Electricity power 1996M12";"Electricity power 1997M01";"Electricity power 1997M02";"Electricity power 1997M03";"Electricity power 1997M04";"Electricity power 1997M05";"Electricity power 1997M06";"Electricity power 1997M07";"Electricity power 1997M08";"Electricity power 1997M09";"Electricity power 1997M10";"Electricity power 1997M11";"Electricity power 1997M12";"Electricity power 1998M01";"Electricity power 1998M02";"Electricity power 1998M03";"Electricity power 1998M04";"Electricity power 1998M05";"Electricity power 1998M06";"Electricity power 1998M07";"Electricity power 1998M08";"Electricity power 1998M09";"Electricity power 1998M10";"Electricity power 1998M11";"Electricity power 1998M12";"Electricity power 1999M01";"Electricity power 1999M02";"Electricity power 1999M03";"Electricity power 1999M04";"Electricity power 1999M05";"Electricity power 1999M06";"Electricity power 1999M07";"Electricity power 1999M08";"Electricity power 1999M09";"Electricity power 1999M10";"Electricity power 1999M11";"Electricity power 1999M12";"Electricity power 2000M01";"Electricity power 2000M02";"Electricity power 2000M03";"Electricity power 2000M04";"Electricity power 2000M05";"Electricity power 2000M06";"Electricity power 2000M07";"Electricity power 2000M08";"Electricity power 2000M09";"Electricity power 2000M10";"Electricity power 2000M11";"Electricity power 2000M12";"Electricity power 2001M01";"Electricity power 2001M02";"Electricity power 2001M03";"Electricity power 2001M04";"Electricity power 2001M05";"Electricity power 2001M06";"Electricity power 2001M07";"Electricity power 2001M08";"Electricity power 2001M09";"Electricity power 2001M10";"Electricity power 2001M11";"Electricity power 2001M12";"Electricity power 2002M01";"Electricity power 2002M02";"Electricity power 2002M03";"Electricity power 2002M04";"Electricity power 2002M05";"Electricity power 2002M06";"Electricity power 2002M07";"Electricity power 2002M08";"Electricity power 2002M09";"Electricity power 2002M10";"Electricity power 2002M11";"Electricity power 2002M12";"Electricity power 2003M01";"Electricity power 2003M02";"Electricity power 2003M03";"Electricity power 2003M04";"Electricity power 2003M05";"Electricity power 2003M06";"Electricity power 2003M07";"Electricity power 2003M08";"Electricity power 2003M09";"Electricity power 2003M10";"Electricity power 2003M11";"Electricity power 2003M12";"Electricity power 2004M01";"Electricity power 2004M02";"Electricity power 2004M03";"Electricity power 2004M04";"Electricity power 2004M05";"Electricity power 2004M06";"Electricity power 2004M07";"Electricity power 2004M08";"Electricity power 2004M09";"Electricity power 2004M10";"Electricity power 2004M11";"Electricity power 2004M12";"Electricity power 2005M01";"Electricity power 2005M02";"Electricity power 2005M03";"Electricity power 2005M04";"Electricity power 2005M05";"Electricity power 2005M06";"Electricity power 2005M07";"Electricity power 2005M08";"Electricity power 2005M09";"Electricity power 2005M10";"Electricity power 2005M11";"Electricity power 2005M12";"Electricity power 2006M01";"Electricity power 2006M02";"Electricity power 2006M03";"Electricity power 2006M04";"Electricity power 2006M05";"Electricity power 2006M06";"Electricity power 2006M07";"Electricity power 2006M08";"Electricity power 2006M09";"Electricity power 2006M10";"Electricity power 2006M11";"Electricity power 2006M12";"Electricity power 2007M01";"Electricity power 2007M02";"Electricity power 2007M03";"Electricity power 2007M04";"Electricity power 2007M05";"Electricity power 2007M06";"Electricity power 2007M07";"Electricity power 2007M08";"Electricity power 2007M09";"Electricity power 2007M10";"Electricity power 2007M11";"Electricity power 2007M12";"Electricity power 2008M01";"Electricity power 2008M02";"Electricity power 2008M03";"Electricity power 2008M04";"Electricity power 2008M05";"Electricity power 2008M06";"Electricity power 2008M07";"Electricity power 2008M08";"Electricity power 2008M09";"Electricity power 2008M10";"Electricity power 2008M11";"Electricity power 2008M12";"Electricity power 2009M01";"Electricity power 2009M02";"Electricity power 2009M03";"Electricity power 2009M04";"Electricity power 2009M05";"Electricity power 2009M06";"Electricity power 2009M07";"Electricity power 2009M08";"Electricity power 2009M09";"Electricity power 2009M10";"Electricity power 2009M11";"Electricity power 2009M12";"Electricity power 2010M01";"Electricity power 2010M02";"Electricity power 2010M03";"Electricity power 2010M04";"Electricity power 2010M05";"Electricity power 2010M06";"Electricity power 2010M07";"Electricity power 2010M08";"Electricity power 2010M09";"Electricity power 2010M10";"Electricity power 2010M11";"Electricity power 2010M12";"Electricity power 2011M01";"Electricity power 2011M02";"Electricity power 2011M03";"Electricity power 2011M04";"Electricity power 2011M05";"Electricity power 2011M06";"Electricity power 2011M07";"Electricity power 2011M08";"Electricity power 2011M09";"Electricity power 2011M10";"Electricity power 2011M11";"Electricity power 2011M12";"Electricity power 2012M01";"Electricity power 2012M02";"Electricity power 2012M03";"Electricity power 2012M04";"Electricity power 2012M05";"Electricity power 2012M06";"Electricity power 2012M07";"Electricity power 2012M08";"Electricity power 2012M09";"Electricity power 2012M10";"Electricity power 2012M11";"Electricity power 2012M12";"Electricity power 2013M01";"Electricity power 2013M02";"Electricity power 2013M03";"Electricity power 2013M04";"Electricity power 2013M05";"Electricity power 2013M06";"Electricity power 2013M07";"Electricity power 2013M08";"Electricity power 2013M09";"Electricity power 2013M10";"Electricity power 2013M11";"Electricity power 2013M12";"Electricity power 2014M01";"Electricity power 2014M02";"Electricity power 2014M03";"Electricity power 2014M04";"Electricity power 2014M05";"Electricity power 2014M06";"Electricity power 2014M07";"Electricity power 2014M08";"Electricity power 2014M09";"Electricity power 2014M10";"Electricity power 2014M11";"Electricity power 2014M12";"Electricity power 2015M01";"Electricity power 2015M02";"Electricity power 2015M03";"Electricity power 2015M04";"Electricity power 2015M05";"Electricity power 2015M06";"Electricity power 2015M07";"Electricity power 2015M08";"Electricity power 2015M09";"Electricity power 2015M10";"Electricity power 2015M11";"Electricity power 2015M12";"Electricity power 2016M01";"Electricity power 2016M02";"Electricity power 2016M03";"Electricity power 2016M04";"Electricity power 2016M05";"Electricity power 2016M06";"Electricity power 2016M07";"Electricity power 2016M08";"Electricity power 2016M09";"Electricity power 2016M10";"Electricity power 2016M11";"Electricity power 2016M12";"Electricity power 2017M01";"Electricity power 2017M02";"Electricity power 2017M03";"Electricity power 2017M04";"Electricity power 2017M05";"Electricity power 2017M06";"Electricity power 2017M07";"Electricity power 2017M08";"Electricity power 2017M09";"Electricity power 2017M10";"Electricity power 2017M11";"Electricity power 2017M12";"Electricity power 2018M01";"Electricity power 2018M02";"Electricity power 2018M03";"Electricity power 2018M04";"Electricity power 2018M05";"Electricity power 2018M06";"Electricity power 2018M07";"Electricity power 2018M08";"Electricity power 2018M09";"Electricity power 2018M10";"Electricity power 2018M11";"Electricity power 2018M12";"Electricity power 2019M01";"Electricity power 2019M02";"Electricity power 2019M03";"Electricity power 2019M04";"Electricity power 2019M05";"Electricity power 2019M06";"Electricity power 2019M07";"Electricity power 2019M08";"Electricity power 2019M09";"Electricity power 2019M10";"Electricity power 2019M11";"Electricity power 2019M12";"Electricity power 2020M01";"Electricity power 2020M02";"Electricity power 2020M03";"Electricity power 2020M04";"Electricity power 2020M05";"Electricity power 2020M06";"Electricity power 2020M07";"Electricity power 2020M08";"Electricity power 2020M09";"Electricity power 2020M10";"Electricity power 2020M11";"Electricity power 2020M12";"Electricity power 2021M01";"Electricity power 2021M02";"Electricity power 2021M03";"Electricity power 2021M04";"Electricity power 2021M05";"Electricity power 2021M06";"Electricity power 2021M07";"Electricity power 2021M08";"Electricity power 2021M09";"Electricity power 2021M10";"Electricity power 2021M11";"Electricity power 2021M12";"Electricity power 2022M01";"Electricity power 2022M02";"Electricity power 2022M03";"Electricity power 2022M04";"Electricity power 2022M05";"Electricity power 2022M06";"Electricity power 2022M07";"Electricity power 2022M08";"Electricity power 2022M09";"Electricity power 2022M10";"Electricity power 2022M11";"Electricity power 2022M12";"Electricity power 2023M01";"Electricity power 2023M02";"Electricity power 2023M03";"Electricity power 2023M04";"Electricity power 2023M05";"Electricity power 2023M06";"Electricity power 2023M07";"Electricity power 2023M08";"Electricity power 2023M09";"Electricity power 2023M10";"Electricity power 2023M11";"Electricity power 2023M12";"Electricity power 2024M01";"Electricity power 2024M02";"Electricity power 2024M03";"Electricity power 2024M04";"Electricity power 2024M05";"Electricity power 2024M06";"Electricity power 2024M07";"Electricity power 2024M08";"Electricity power 2024M09";"Electricity power 2024M10";"Electricity power 2024M11";"Electricity power 2024M12";"Electricity power 2025M01";"Electricity power 2025M02";"Electricity power 2025M03";"Electricity power 2025M04";"Electricity power 2025M05";"Electricity power 2025M06";"Electricity power 2025M07";"Electricity power 2025M08";"Electricity power 2025M09";"Electricity power 2025M10";"Electricity power 2025M11";"Electricity power 2025M12";"Electricity power 2026M01";"Electricity power 2026M02";"Electricity power 2026M03"
"1 Total electricity generation";11718176;10675869;11406111;9464337;8339679;8160956;7418503;8122230;9349530;10718685;11954294;12672293;12401753;11413645;10177098;8304813;8206820;8334119;7162824;7790565;8537468;9904844;10214888;11033435;12233989;10889383;11518461;9998719;8862919;8101440;8009238;8513385;8794833;10313825;12366096;13582892;13646450;12477010;11168545;8429734;8445406;6313332;5633043;5988037;6170778;7184282;9135765;10156533;9915507;8523572;9591261;9315316;8335058;7672333;7403846;7837149;9321202;10863016;11046738;11803947;11654934;10098134;11267669;9511113;7912766;7742785;7346171;9041728;9084784;10615623;11243624;11456994;11881762;10908905;10973808;9285955;8822529;8678596;9293484;9710909;8888624;9736827;11318847;13160163;13311167;12535825;13941369;11625547;11310793;10793947;10099184;10785240;11168964;11848916;12106914;13456026;14030170;12515802;11941490;9304444;7933848;7621175;6911724;7889824;7702018;9950978;12445641;13673111;13515432;11494888;11825353;9734993;9587785;9858731;9571327;9764895;9505207;11808279;11987974;11945943;11004299;9820713;8940954;7451183;7290123;7952521;7114056;7792292;8544277;10851877;9971823;10539325;12353970;10745063;10588201;7914122;7706207;7767541;6303412;7630286;8029156;9254938;10725713;11583562;13405894;13387104;13649650;10882130;9944660;9613944;9191659;9417427;9606988;11300263;13102465;14605726;14818210;13209774;13627918;9584819;7942314;8531405;8000033;8396412;7920908;8583828;10210525;10837161;12575645;12946915;11485762;10206980;10456285;9908341;10378115;11238751;11609134;11657807;12331253;12913575;13645294;12950348;13631933;11300049;10581355;10736936;10409648;10144997;10293526;11859552;12853507;14259873;14150415;12289463;12269897;9572925;9038644;8100426;8175929;9537587;10565045;12532164;12420927;14138312;14825249;12624913;11229016;8708195;7599771;7016890;8072563;7884353;8888843;11349305;12180809;14067491;11271047;10550937;10151019;8433751;8642885;9356959;10542100;10494922;10429241;12177208;13089656;13004706;15428126;14431042;12880484;12081388;11160986;10457735;10309882;11066601;10904347;12210650;12294855;14619472;14605924;12424998;12307742;9476016;9790438;9635758;9739494;10139708;9886723;10876630;12228997;13127459;14643007;11864749;12259180;11541796;11323462;10719430;10207971;9815623;10552424;11869710;13123292;14406368;14768029;12871304;13175526;11013423;10928296;11090433;10192871;10728859;11165349;12013395;13128014;13945378;16376633;14087559;14373398;11705742;11308995;11029456;10352549;10386954;10553558;12080336;13166688;14109572;15311124;13156170;12811993;11537845;11236769;11067751;10624134;11111612;11358314;12429055;13742891;14865498;15628754;14795890;14075834;10546763;10257894;9681209;9364253;10544295;11197753;13281221;13665597;13805512;14706643;11745180;11304993;9995469;9810046;9469546;9790417;10101797;10949275;11525716;12867059;12368487;13336427;12933653;14236428;12588652;12107907;10572065;11247125;11567230;12048431;13913220;13431291;16218799;17451898;14411581;13789715;12427156;12079886;11426468;11050841;10398602;11234852;12359481;14420057;16042237;15079225;12949406;14614698;11140849;10783817;11479725;10663899;10462503;8578987;11018527;14321421;14850019;14139494;13781264;14299937;12003407;11122716;11333215;11480242;12198706;12003887;13364535;14283444;13964649;15629117;14293383;14485453;12465659;11752626;11282132;11094784;11104053;11578519;12878212;14743252;15846494;17367736;15904050;15046058;13008595;11599333;10790197;11463789;11226286;11549065;13205225;14850565;15782194;17782573;13519385;12468376
"1.1 Hydro power generation";11673067;10636402;11377918;9426997;8292378;8112115;7394606;8067914;9308581;10674093;11913778;12635875;12358991;11369816;10131814;8258317;8145214;8267441;7104508;7743224;8489197;9835215;10145951;10957075;12166565;10824208;11447300;9934022;8799962;8027187;7951091;8460534;8750360;10270142;12325277;13527284;13572312;12402827;11104426;8353576;8370847;6261011;5563904;5926422;6101372;7110925;9062277;10085537;9846254;8460885;9526318;9247383;8267072;7628962;7356612;7786485;9275641;10809934;10988098;11727982;11578402;10033614;11197273;9446834;7850461;7674283;7301425;9004306;9055841;10561529;11174763;11380161;11808954;10852908;10894268;9216899;8747880;8624444;9225922;9642892;8819318;9671022;11243421;13084195;13231494;12464006;13868963;11544663;11249789;10746111;10050387;10723543;11108317;11799317;12055970;13379999;13953339;12438032;11862929;9225859;7855812;7550779;6824626;7814380;7634781;9870696;12357322;13592813;13429626;11417989;11743476;9653841;9520386;9787842;9513106;9708274;9444404;11743738;11904197;11861532;10913220;9724705;8831255;7349242;7207886;7860257;7016462;7717030;8443872;10738995;9871065;10426777;12237794;10629659;10467571;7798307;7589671;7669888;6192211;7535347;7948741;9162655;10613484;11434374;13256254;13277845;13539812;10786894;9827689;9492169;9090615;9301139;9462646;11152823;12942343;14440518;14638255;13063644;13495826;9446228;7821440;8388455;7856659;8268969;7784117;8434123;10005439;10601465;12381771;12782437;11289100;10008806;10322725;9777408;10223632;11093546;11346769;11415115;12056842;12590469;13417638;12745900;13445436;11137187;10437667;10581569;10255988;10004402;10132009;11641715;12647546;14074843;13796276;12015959;11653000;9052480;8471635;7641988;7599770;9151292;10099918;12073913;11921648;13591998;14249365;12082668;10569953;8107465;7055820;6427624;7441873;7425687;8609302;10963316;11643542;13365401;10524386;9865867;9369715;7793373;8141646;9015881;10228637;10125321;10059072;11748703;12651390;12555351;15006054;13937887;12413809;11710654;10808425;10120319;10012282;10684799;10521127;11765389;11825234;14092365;14148246;12093357;11950284;9127947;9343219;9270084;9277607;9726483;9469056;10383643;11719841;12512431;14072018;11343284;11702699;11046960;11035551;10356319;9811824;9390051;10142671;11293424;12601738;13839214;14174194;12328923;12636833;10530859;10453959;10631017;9773733;10273233;10721754;11496478;12657293;13335506;15834861;13608131;13856537;11257556;10889267;10660561;9952279;9949918;10180388;11648805;12652249;13514754;14737330;12667724;12264196;11058537;10874085;10671504;10189374;10638498;10827917;11748096;13106785;14211921;14966904;14252555;13477906;10037426;9757635;9165049;8896670;10027285;10528726;12507962;12932163;12961540;13880701;10991055;10477292;9342332;9168288;8847070;9233706;9511438;10178611;10800207;12075504;11289732;12018612;11806306;13010776;11616762;11282754;9996063;10451675;10838474;10993018;12907317;11950535;14720967;16448465;13172264;12382899;11375507;11396142;10671115;10211586;9657246;10126089;10743083;13011644;14473978;13174587;11278236;13058651;10135314;9492477;10543848;9421451;9357103;7352290;9369387;12364093;13189657;12247275;12043602;12830945;10648862;9830063;10444315;10596552;11225697;10707186;11775274;12716210;12261710;13718032;12575597;12941225;11129878;10741020;10124506;10194309;9746939;10418989;11283463;13217189;13923035;15778874;14496090;13399395;11809036;10462259;9770412;10809205;9943766;10217482;11531859;13392061;13863750;16002328;12127170;10655649
